Date;Open;High;Low;Close;Volume
31.12.2021;168.113;168.26;166.652;166.692;4525327.5606842
03.01.2022;165.848;167.211;164.769;167.153;6170754.192909
04.01.2022;166.682;167.878;166.231;166.702;6925666.8284599
05.01.2022;167.594;169.025;167.231;167.809;7200437.5782187
06.01.2022;167.741;168.084;166.427;167.241;7493473.6920257
07.01.2022;167.074;169.839;166.75;169.496;7169553.0828559
10.01.2022;169.242;169.242;167.751;168.662;7900710.1399748
11.01.2022;168.564;168.948;165.75;166.869;8560217.0441516
12.01.2022;165.269;165.73;164.034;165.446;8329446.5285001
13.01.2022;164.671;166.054;164.151;164.436;6321275.1912247
14.01.2022;164.308;164.328;162.868;163.543;6001482.4401203
18.01.2022;162.818;163.426;161.759;162.818;8021291.9305827
19.01.2022;162.915;164.397;162.063;162.317;6082163.3023084
20.01.2022;163.005;163.563;160.71;161.024;6169238.8774236
21.01.2022;161.936;163.69;160.259;160.651;10827496.112439
24.01.2022;159.798;159.964;154.208;158.797;14457734.157887
25.01.2022;158.199;164.103;157.444;163.338;14451211.978988
26.01.2022;163.249;164.887;161.975;164.073;10224999.129425
27.01.2022;165.054;167.505;164.671;166.221;9307006.5281834
28.01.2022;166.485;167.437;164.965;167.388;10040257.086441
31.01.2022;167.113;168.202;166.446;167.878;8266526.2651079
01.02.2022;167.338;167.574;165.093;166.505;8368975.2562788
02.02.2022;165.309;168.564;165.309;168.349;7576794.629444
03.02.2022;167.849;169.173;166.662;168.339;6404576.7538149
04.02.2022;166.623;168.555;165.76;167.241;6560099.516906
07.02.2022;167.026;167.338;165.662;166.682;6225037.3619795
08.02.2022;166.642;167.643;166.113;167.123;6461726.3776835
09.02.2022;167.662;167.829;166.869;167.103;5529090.4854786
10.02.2022;166.829;166.839;164.965;165.083;10627421.442511
11.02.2022;164.789;165.79;163.249;163.416;13470177.766748
14.02.2022;163.416;163.671;159.622;161.357;9203250.2459945
15.02.2022;161.876;163.799;161.759;163.025;6807090.8424013
16.02.2022;162.23;163.543;161.465;162.925;8705486.444385
17.02.2022;162.925;163.162;160.7;161.936;6391189.7674802
18.02.2022;161.789;162.16;159.788;160.2;6549879.8050651
22.02.2022;160.411;160.573;157.336;158.022;7004401.0303104
23.02.2022;158.386;159.493;157.738;158.102;8175058.7224314
24.02.2022;156.689;157.032;152.707;155.08;13137597.629246
25.02.2022;156.904;163.755;156.61;162.788;11564074.042453
28.02.2022;159.719;161.984;159.238;161.386;9558429.5906233
01.03.2022;159.886;161.562;159.266;160.827;8910224.3294652
02.03.2022;161.229;164.387;160.867;162.828;6927395.2670521
03.03.2022;163.476;166.059;163.102;165.221;7478414.352127
04.03.2022;164.397;166.574;163.623;166.201;6427009.7453125
07.03.2022;165.044;169.771;164.122;168.878;11893445.096622
08.03.2022;168.712;169.771;165.25;165.456;11319325.098353
09.03.2022;166.722;166.936;164.642;166.084;7391209.2715834
10.03.2022;165.299;166.859;164.823;166.378;6293401.9520051
11.03.2022;165.857;168.143;165.75;166.074;5290547.6046653
14.03.2022;167.378;170.751;167.054;168.368;7881937.9712183
15.03.2022;169.977;173.105;169.212;172.732;10762814.779167
16.03.2022;172.065;173.527;169.222;171.144;9792776.2916097
17.03.2022;171.82;173.419;170.83;173.38;7619629.3146951
18.03.2022;173.576;173.576;170.3;171.458;14081968.548776
21.03.2022;171.281;173.733;170.948;172.428;7724308.4505276
22.03.2022;172.428;172.958;170.546;171.614;8608657.1730257
23.03.2022;171.84;172.144;170.722;170.967;5358006.6764195
24.03.2022;171.614;172.144;170.703;171.85;5111158.1128139
25.03.2022;172.291;174.262;171.83;173.497;4904867.1823203
28.03.2022;173.233;174.731;172.939;174.39;5714719.691634
29.03.2022;175.164;175.929;173.38;174.301;6050497.695464
30.03.2022;174.989;176.381;174.243;176.115;6401398.2623154
31.03.2022;176.115;176.723;173.556;173.801;11717075.018737
01.04.2022;173.625;174.979;172.204;174.742;6654379.4688079
04.04.2022;174.742;174.742;172.124;173.056;6996118.8012571
05.04.2022;173.056;176.175;172.879;174.174;7592968.5318095
06.04.2022;175.92;179.067;175.164;178.705;10534691.476839
07.04.2022;178.155;179.411;176.743;178.244;7530872.208466
08.04.2022;177.822;179.642;176.939;178.596;7285555.2759904
11.04.2022;179.46;180.636;176.125;176.361;6049065.9976566
12.04.2022;175.734;177.313;174.752;176.419;6075064.9772112
13.04.2022;176.419;177.341;175.772;177.165;5754444.2071471
14.04.2022;176.518;177.891;176.252;176.419;6310272.3284465
18.04.2022;176.252;176.9;173.321;174.223;6443309.0741954
19.04.2022;177.224;182.343;176.469;179.538;14664541.07064
20.04.2022;178.713;180.754;178.382;180.333;8203616.1989933
21.04.2022;180.372;181.294;179.027;179.812;7106895.9092317
22.04.2022;178.94;179.607;177.871;178.028;8161486.1456402
